"sbd","toan","ngu_van","ngoai_ngu","vat_li","hoa_hoc","sinh_hoc","lich_su","dia_li","gdcd","ma_ngoai_ngu"
26012239,7,8.5,6.2,NA,NA,NA,7.75,8.5,9.25,"Cantonese"
26012370,8,7.75,4.4,NA,NA,NA,7.5,8,9.5,"Cantonese"
26012374,8.4,8,7.8,NA,NA,NA,9.75,8,8.75,"Cantonese"
26012446,7.2,8,6.6,NA,NA,NA,6,6.5,8.25,"Cantonese"
26012661,7.4,8.25,7.4,NA,NA,NA,7.75,8,9,"Cantonese"
26012674,8.6,8.5,7.4,NA,NA,NA,8.75,9.25,9.25,"Cantonese"
26012750,5.8,8,8,NA,NA,NA,7.25,6,8,"Cantonese"
26012814,7,7.25,7,NA,NA,NA,6.75,7.75,8.75,"Cantonese"
26012816,6.8,7,6.6,NA,NA,NA,6.5,7.75,9,"Cantonese"
26012824,8,7.5,6.6,NA,NA,NA,6.25,7,8.25,"Cantonese"
26012965,6.8,7,6,NA,NA,NA,6.75,7.25,7.5,"Cantonese"
26013313,6.4,7,6.8,NA,NA,NA,7.25,8.5,9.5,"Cantonese"
26013399,8,8,8.8,NA,NA,NA,7,7.75,8.5,"Cantonese"
26013428,7.2,9,7,NA,NA,NA,9,8.75,8.75,"Cantonese"
26013618,6.6,7.5,4.2,NA,NA,NA,7.5,9,8.75,"Cantonese"
26013648,6.6,8.25,5.8,5.25,6,4.25,NA,NA,NA,"Cantonese"
26013761,6.4,5.25,4.2,NA,NA,NA,5.75,7,8.25,"Cantonese"
26013840,7.2,8,7.2,NA,NA,NA,NA,NA,NA,"Cantonese"
26013960,8,8.25,6.4,NA,NA,NA,6.75,8.75,8.5,"Cantonese"
26014514,7.4,8,8.4,NA,NA,NA,9.75,8.75,9.5,"Cantonese"
26014574,8.8,8,4.8,5,7.25,6.25,NA,NA,NA,"Cantonese"
26014732,8.8,8.25,9.2,7,5.75,6.75,NA,NA,NA,"Cantonese"
26015173,7.8,8.25,7.4,NA,NA,NA,NA,NA,NA,"Cantonese"
26015178,8,8.75,8.2,3.25,5,6.75,NA,NA,NA,"Cantonese"
26015594,7,7.75,8.6,5.75,5.5,5,NA,NA,NA,"Cantonese"
26015742,7.2,6.25,6.2,4.25,6,5.5,NA,NA,NA,"Cantonese"
26016341,6.2,8,7,NA,NA,NA,6.25,7.75,9,"Cantonese"
26016465,7.2,7.75,8,5,3.75,6.5,NA,NA,NA,"Cantonese"
26016532,4.8,7.75,4.6,NA,NA,NA,7.5,7.75,9.25,"Cantonese"
26016586,6.4,8.25,7,NA,NA,NA,6.75,8.75,9.75,"Cantonese"
26016898,7.8,8,7.6,8,7.75,7,NA,NA,NA,"Cantonese"
26017330,6.8,8,7.6,NA,NA,NA,8,7.5,9.25,"Cantonese"
26018480,6.4,6.75,5.6,NA,NA,NA,7.25,9,9.75,"Cantonese"
26019168,6.6,8.75,4.6,NA,NA,NA,7.75,8,9.5,"Cantonese"
26019856,8,8.5,7.6,5.5,7.25,5.75,NA,NA,NA,"Cantonese"
26020042,7.4,7,5.4,NA,NA,NA,8.75,8.75,8.75,"Cantonese"
26020054,7.2,8.75,7.6,NA,NA,NA,7,6.75,7.75,"Cantonese"
26020060,6.6,8.5,5.6,NA,NA,NA,7.25,7.75,9.5,"Cantonese"
26020116,7.6,7.5,7.6,NA,NA,NA,8,7.5,9.75,"Cantonese"
26020117,7.2,8.5,6.4,NA,NA,NA,7.25,7.75,8,"Cantonese"
26020314,8.2,8.5,8,NA,NA,NA,9.25,7.75,9.25,"Cantonese"
26020347,8,8.25,7.4,NA,NA,NA,6,8,8.75,"Cantonese"
26020435,6.6,8.25,8.2,NA,NA,NA,9.5,8.75,9.5,"Cantonese"
26020450,7.4,8.5,7.2,NA,NA,NA,NA,NA,NA,"Cantonese"
26020507,6.8,7.25,7.4,NA,NA,NA,8.5,8.25,8.25,"Cantonese"
26020530,9,8.75,7.8,6,6.75,6.25,NA,NA,NA,"Cantonese"
26020636,7.8,8.25,5.8,4.25,5.75,4.5,NA,NA,NA,"Cantonese"
26020889,9.6,8,7.6,9.75,9,7.75,NA,NA,NA,"Cantonese"
26020951,7.4,8.25,5.8,7.5,8,7,NA,NA,NA,"Cantonese"
26021006,6.6,7.75,5.8,4.75,7,5.75,NA,NA,NA,"Cantonese"
26021019,7,7.75,5.8,6.25,7.5,6.5,NA,NA,NA,"Cantonese"
26021102,7.2,8,9,NA,NA,NA,7.25,7.5,9,"Cantonese"
26022004,7.8,9.25,8.2,7,8.5,8,NA,NA,NA,"Cantonese"
26022016,7.4,9.25,7.6,NA,NA,NA,9.5,8.5,9.75,"Cantonese"
26022021,6.4,8.5,5.4,5.75,4.75,6.5,NA,NA,NA,"Cantonese"
27000416,7,9.5,7,NA,NA,NA,10,9.75,9.5,"Cantonese"
27000952,6.4,8.5,5.2,NA,NA,NA,6.25,7.25,NA,"Cantonese"
27001436,8.2,8.5,5.8,3.75,5.75,5.5,NA,NA,NA,"Cantonese"
27002698,7.2,7.75,6.6,4.75,6.5,6.5,NA,NA,NA,"Cantonese"
27002702,8,9.25,6.8,6.25,8.25,8,NA,NA,NA,"Cantonese"
27002896,7.8,9,6.6,NA,NA,NA,8.5,7.5,8.25,"Cantonese"
27003009,8.4,8.75,4.6,NA,NA,NA,6.5,9,8.25,"Cantonese"
27003022,6.4,9.5,7.4,NA,NA,NA,NA,NA,NA,"Cantonese"
27003059,8,6.5,7.4,NA,NA,NA,6,6.25,7.5,"Cantonese"
27003677,7.6,9.25,8.4,NA,NA,NA,9.5,8,9.5,"Cantonese"
27003878,7,9.5,7.4,NA,NA,NA,9.5,8,8.25,"Cantonese"
27004084,5,6.5,3.6,NA,NA,NA,7,6.75,NA,"Cantonese"
27004172,7.6,8.75,7,NA,NA,NA,9,7.25,8.25,"Cantonese"
27004390,7.6,9.25,6.8,NA,NA,NA,9.25,9.5,9.75,"Cantonese"
27005934,7.8,9,6.6,NA,NA,NA,6.5,7.5,9,"Cantonese"
27005989,8,8.5,7.8,NA,NA,NA,8.75,8.5,9,"Cantonese"
27007279,7.2,8.5,3.4,NA,NA,NA,8,9,8.5,"Cantonese"
27007835,7.4,9.25,7.2,7.25,7.75,7.5,NA,NA,NA,"Cantonese"
27008523,6.8,8.5,8,5,5,5.25,NA,NA,NA,"Cantonese"
27009351,8.6,8.75,7.4,6,7.75,7.25,NA,NA,NA,"Cantonese"
27010064,8.2,9,8.8,NA,NA,NA,9.75,8.75,9.25,"Cantonese"
27010115,7.8,9.25,8.4,NA,NA,NA,9.25,8.75,10,"Cantonese"
27010342,6.4,8,6.6,NA,NA,NA,6.25,8,8.5,"Cantonese"
27011084,9,8.75,6.6,NA,NA,NA,6.25,8,9,"Cantonese"
28000868,8.8,9,8.4,NA,NA,NA,7.75,8.75,9.75,"Cantonese"
28000998,7.6,7.75,6,NA,NA,NA,8,8.75,9.75,"Cantonese"
28001240,8.2,9,9.4,NA,NA,NA,7,7.25,9.25,"Cantonese"
28001251,7,9,8.6,NA,NA,NA,5.75,7.25,9.75,"Cantonese"
28001426,7.8,8.25,9.4,NA,NA,NA,7,6,8.25,"Cantonese"
28001441,7.2,9,6.4,NA,NA,NA,NA,NA,NA,"Cantonese"
28001613,8,8.5,5.6,NA,NA,NA,6.75,7.25,8,"Cantonese"
28001625,7.4,8.5,7.4,NA,NA,NA,9.25,7.25,9,"Cantonese"
28001630,8.2,8.75,6.4,NA,NA,NA,5,7,8.75,"Cantonese"
28001724,6.8,8.5,7.4,NA,NA,NA,6.5,8.5,9.25,"Cantonese"
28001732,8,7.25,6.2,NA,NA,NA,4.25,6.75,8,"Cantonese"
28001760,7,8.75,7,NA,NA,NA,6,7,8.5,"Cantonese"
28001841,8,8.5,6.2,NA,NA,NA,5.25,7.25,8.5,"Cantonese"
28001941,8.2,9.25,6.4,NA,NA,NA,5.25,8.75,7,"Cantonese"
28001948,8.6,8.5,5.6,NA,NA,NA,5.75,5.5,8,"Cantonese"
28001983,7.8,8.75,8,NA,NA,NA,5.75,5,7.5,"Cantonese"
28001987,7.4,9,5.2,NA,NA,NA,6.5,7.75,8,"Cantonese"
28002042,7.6,8.75,7,NA,NA,NA,7,8.25,9.25,"Cantonese"
28002600,7.2,9,7,NA,NA,NA,7.5,7.5,9.25,"Cantonese"
28002638,6,8.5,5.6,NA,NA,NA,3.5,6.75,7.5,"Cantonese"
28002639,7.4,8.5,7.8,NA,NA,NA,7.5,9,9.25,"Cantonese"
28002648,7.8,9,8.6,NA,NA,NA,8.25,7.5,9,"Cantonese"
28002664,5.8,8.5,6.6,NA,NA,NA,5.5,7.25,8.5,"Cantonese"
28002955,8,9,7.8,NA,NA,NA,9.25,9.25,9,"Cantonese"
28003049,5.2,8.5,4.6,NA,NA,NA,5.5,6,9.25,"Cantonese"
28003654,7.6,9,6,NA,NA,NA,4.5,6.75,6.25,"Cantonese"
28003755,5.6,7.75,6.8,NA,NA,NA,5.75,7.25,7.75,"Cantonese"
28003811,7.6,8.75,6.2,NA,NA,NA,6.75,8.75,8.5,"Cantonese"
28003859,7,9,4.8,NA,NA,NA,7.25,8,8,"Cantonese"
28003870,2.6,6.5,6.6,NA,NA,NA,6.25,6.75,8.25,"Cantonese"
28003921,5.6,9,5.6,NA,NA,NA,8.5,9.25,8.75,"Cantonese"
28004028,7,9.25,6.2,NA,NA,NA,7.25,7,8.75,"Cantonese"
28004094,6.2,8.75,8.6,NA,NA,NA,6.75,8.5,9.5,"Cantonese"
28004141,7,8.5,6.4,5.75,7.5,6.75,NA,NA,NA,"Cantonese"
28004274,7.6,9,9,NA,NA,NA,8.75,9.25,9.25,"Cantonese"
28004512,8.4,8.75,7.8,NA,NA,NA,7.5,6.75,7.75,"Cantonese"
28005323,8.4,9.25,8.6,NA,NA,NA,8.5,9.25,9.5,"Cantonese"
28006040,3.8,9,4.8,NA,NA,NA,6.25,7,7.5,"Cantonese"
28006211,8.8,9.25,6.2,7.5,7.5,7.75,NA,NA,NA,"Cantonese"
28006516,7.6,9,4.6,4.5,5.5,5.5,NA,NA,NA,"Cantonese"
28006872,6.2,8.75,4.2,NA,NA,NA,8,7.25,8.75,"Cantonese"
28006925,7.6,8.5,6.6,NA,NA,NA,6.25,7,8.75,"Cantonese"
28008921,6.6,9,8,NA,NA,NA,NA,NA,NA,"Cantonese"
28009024,8.2,8.75,8.8,NA,NA,NA,6.75,8,8.25,"Cantonese"
28011128,5.6,8.5,5.6,NA,NA,NA,7.75,7.5,7.75,"Cantonese"
28015816,6.4,7.75,6.4,NA,NA,NA,6.25,8.25,8,"Cantonese"
28016479,6.8,8.5,4.8,NA,NA,NA,8.25,7.75,8.5,"Cantonese"
28016601,5,8.5,4,NA,NA,NA,6.5,6.5,NA,"Cantonese"
28017249,8.6,9.25,7.6,4.5,8.25,6.5,NA,NA,NA,"Cantonese"
28017580,7.6,8.25,7,NA,NA,NA,7.5,8,9.5,"Cantonese"
28017592,7.6,8.75,8.2,NA,NA,NA,6.75,7,9,"Cantonese"
28018383,7.2,7.25,5.4,NA,NA,NA,6.25,8,8.5,"Cantonese"
28018401,5.8,8.75,6.2,NA,NA,NA,7.75,8.5,8.25,"Cantonese"
28018702,7,9,8.2,NA,NA,NA,9.5,9,9.5,"Cantonese"
28018802,8,9,4.4,NA,NA,NA,8.5,9.25,8.25,"Cantonese"
28019439,8,9.25,6,7.25,9.25,6,NA,NA,NA,"Cantonese"
28020608,6,8.5,8.4,NA,NA,NA,NA,NA,NA,"Cantonese"
28022598,3.6,7,3.2,NA,NA,NA,NA,NA,NA,"Cantonese"
28023111,5.6,9,6.6,NA,NA,NA,10,8.25,8.75,"Cantonese"
28024627,8.2,9.25,9.6,NA,NA,NA,8.5,8.75,10,"Cantonese"
28024968,4.4,6.5,4.2,NA,NA,NA,5.25,7.25,8,"Cantonese"
28025482,7.8,9,7.2,NA,NA,NA,5.25,8.5,8.75,"Cantonese"
28025522,7.8,9,8.4,NA,NA,NA,10,10,9.5,"Cantonese"
28025910,7.8,8.75,7.4,5.25,4.5,7.75,NA,NA,NA,"Cantonese"
28026057,5.4,8.75,5.4,NA,NA,NA,7.75,7,8.75,"Cantonese"
28026419,7.2,7.25,5,NA,NA,NA,4,7,7.75,"Cantonese"
28027032,5.4,8.75,6,NA,NA,NA,4.25,5.75,6.5,"Cantonese"
28027243,7,8.5,7.6,NA,NA,NA,8.5,7.75,8.75,"Cantonese"
28027393,8.4,8.75,4.8,NA,NA,NA,5.5,6,8.5,"Cantonese"
28028300,5.4,8.5,7.2,NA,NA,NA,8.5,8,9.5,"Cantonese"
28028322,8,8.75,7.8,4.75,6.75,6.75,NA,NA,NA,"Cantonese"
28028700,7.6,9,6.8,NA,NA,NA,7.75,8.25,8.5,"Cantonese"
28030502,8.6,9.75,8.8,NA,NA,NA,8.25,9.25,9.75,"Cantonese"
28030756,7.6,9.25,7.2,NA,NA,NA,6,9.5,9.75,"Cantonese"
28031342,7.8,9.25,8.8,NA,NA,NA,6.75,8,9,"Cantonese"
28032147,7.2,9.25,8.4,NA,NA,NA,6.5,7.75,8.25,"Cantonese"
28032313,5.4,8.5,4.8,NA,NA,NA,7.25,6.75,9.25,"Cantonese"
28032452,7,8.75,5.2,NA,NA,NA,5.5,6.25,7.75,"Cantonese"
28032566,7,9,4.6,NA,NA,NA,6.75,8,9.25,"Cantonese"
28032580,7.4,8.5,4.8,NA,NA,NA,6.75,8.5,9.5,"Cantonese"
28033056,8.2,9.5,9.4,NA,NA,NA,7.5,8.75,9.5,"Cantonese"
28033125,8.4,8,8.4,9,10,6.5,NA,NA,NA,"Cantonese"
28035344,6,8,4.6,3.5,5.75,4.75,NA,NA,NA,"Cantonese"
28036224,4.2,8.75,5.6,NA,NA,NA,8.25,9,9.5,"Cantonese"
28037202,7.6,9.25,5.4,NA,NA,NA,8,8,9,"Cantonese"
28037227,6,9.25,8.6,NA,NA,NA,9,8.25,9.5,"Cantonese"
28037229,5.6,9.25,6.2,NA,NA,NA,9.5,9.5,9,"Cantonese"
28037251,8,8.5,7.6,NA,NA,NA,7.25,9.5,9.75,"Cantonese"
28037307,6.4,9.5,7.2,NA,NA,NA,7.5,8,9,"Cantonese"
28037438,7.8,9.25,8.2,NA,NA,NA,9.25,9.5,9.75,"Cantonese"
28037471,6.8,7.25,7,NA,NA,NA,NA,NA,NA,"Cantonese"
28037636,7.4,9,6.6,NA,NA,NA,8.75,9.75,8.25,"Cantonese"
28037722,3.6,9,6.2,NA,NA,NA,5.5,7.5,8.5,"Cantonese"
29000414,7.4,9.25,6.6,NA,NA,NA,6.25,5.75,3.75,"Cantonese"
29000856,8.2,8.75,8.8,NA,NA,NA,8,9.5,9.75,"Cantonese"
29000885,7.4,8.5,8.2,7,8,5.75,NA,NA,NA,"Cantonese"
29001002,6.2,8.25,8,NA,NA,NA,7.5,6.25,8.5,"Cantonese"
29001031,7.2,8.25,5.8,NA,NA,NA,5.5,6.75,9,"Cantonese"
29001090,7.8,8,7,4,3.5,5.5,NA,NA,NA,"Cantonese"
