"sbd","toan","ngu_van","ngoai_ngu","vat_li","hoa_hoc","sinh_hoc","lich_su","dia_li","gdcd","ma_ngoai_ngu"
2003007,7.6,6,6.4,4.5,7.5,4,NA,NA,NA,"French"
2003030,8.2,6.25,6.4,9.5,9.25,6,NA,NA,NA,"French"
2003116,6,6.5,8.4,NA,NA,NA,4.75,5.75,9,"French"
2003194,5.6,5.5,5.6,NA,NA,NA,9,7.25,9.5,"French"
2003202,6.4,8,7,NA,NA,NA,6.5,7,9.75,"French"
2003217,7.6,6.75,6.6,NA,NA,NA,8,7.5,8.75,"French"
2003271,7.4,8.25,6.2,NA,NA,NA,7.75,8,8.5,"French"
2003277,7.8,6.75,6,NA,NA,NA,7,6.5,8.5,"French"
2003293,7,7,6.4,NA,NA,NA,7.5,7.25,9.25,"French"
2003338,7.6,7.25,5.6,NA,NA,NA,7,6.5,7.75,"French"
2003372,8,6.75,5,6.75,5.75,5.75,NA,NA,NA,"French"
2003389,6.8,6,5.6,NA,NA,NA,6.75,5.5,7.75,"French"
2003418,6.6,4.25,3.6,NA,NA,NA,5.75,7.25,7.25,"French"
2003424,7.2,6,4.8,4.5,4.75,5.5,NA,NA,NA,"French"
2003490,8,5,5,7.5,7.25,6.25,NA,NA,NA,"French"
2003498,6.2,7.25,6.4,NA,NA,NA,7,6.75,8.25,"French"
2003605,6.2,7,7.4,6.25,4.5,4.25,NA,NA,NA,"French"
2003620,7.8,6.25,6.2,7.75,7,6.5,NA,NA,NA,"French"
2003737,6.4,6.75,4.4,7.75,6.75,5,NA,NA,NA,"French"
2003740,8.4,6,7.8,7.5,8.5,5.5,NA,NA,NA,"French"
2003741,6,6,6,NA,NA,NA,7.5,7,7,"French"
2003743,7,6.5,4.8,NA,NA,NA,5.75,7.25,7,"French"
2003744,7.4,8,6.6,NA,NA,NA,8.25,8.75,9.5,"French"
2003748,5.6,6.75,4.4,NA,NA,NA,6.5,7.75,9.25,"French"
2003751,6.2,7.25,6.6,NA,NA,NA,7.25,7.25,9.25,"French"
2003752,4.4,4.5,4.6,NA,NA,NA,5.25,5.5,7,"French"
2003756,6.6,6.75,5.8,NA,NA,NA,8,7.75,8.25,"French"
2003757,7.2,7.5,8.4,NA,NA,NA,6.25,7,7.75,"French"
2003758,6.6,6,4.2,NA,NA,NA,2.75,5.75,6,"French"
2003775,7,6.75,7.8,NA,NA,NA,7.25,6.75,7.5,"French"
2003777,7.2,6.5,7.2,6.75,7.5,6.5,NA,NA,NA,"French"
2003780,7.6,7.25,6.4,6.5,6.5,5.25,NA,NA,NA,"French"
2003791,6.8,5.25,3.8,NA,NA,NA,4.75,5.75,6.75,"French"
2003821,8.2,6.75,8.2,NA,NA,NA,6,6.75,8,"French"
2003822,8,7,8.4,5,7,8.5,NA,NA,NA,"French"
2003823,6.8,6.75,5.6,NA,NA,NA,7.5,9,9.25,"French"
2003824,6.4,6.25,5.4,NA,NA,NA,4.5,6.5,7.25,"French"
2003829,8.8,5,5.8,8,7.25,6.5,NA,NA,NA,"French"
2003895,5.2,6.5,5,NA,NA,NA,8,8,7.75,"French"
2003943,6.4,7.25,7.6,NA,NA,NA,6.75,7.5,8.75,"French"
2003947,7.8,6.75,6.2,3,9.25,8.25,NA,NA,NA,"French"
2003951,7.8,7.5,4.6,NA,NA,NA,7.75,8.25,9.75,"French"
2003969,7,7.5,6.8,NA,NA,NA,7.5,7,8.25,"French"
2003978,3.6,5.25,4.2,NA,NA,NA,5.5,7,5.75,"French"
2004047,6.2,5.75,4.8,NA,NA,NA,6.75,6.75,7.75,"French"
2004091,8.4,7.75,4,9,9,6.5,NA,NA,NA,"French"
2004111,4.6,6.75,4.2,NA,NA,NA,6.5,6,7.5,"French"
2004113,7,7,5.4,NA,NA,NA,7.75,7.75,8.75,"French"
2004115,6.6,6,4.6,NA,NA,NA,6.5,6.75,6.75,"French"
2004184,6.8,6.75,5.8,5.25,5.25,4.5,NA,NA,NA,"French"
2004228,7.2,4.5,8,6.75,6.25,5.25,NA,NA,NA,"French"
2004236,6.4,6.5,5.2,NA,NA,NA,6.5,7,8.5,"French"
2004299,7,6.75,4.6,4.5,8.25,7.75,NA,NA,NA,"French"
