"sbd","toan","ngu_van","ngoai_ngu","vat_li","hoa_hoc","sinh_hoc","lich_su","dia_li","gdcd","ma_ngoai_ngu"
1013555,7.8,8,9.2,NA,NA,NA,7.75,8,9.5,"Japanese"
1013566,5.6,8.75,8,NA,NA,NA,8,8.75,8.25,"Japanese"
1013740,8.8,9.5,8.6,NA,NA,NA,8,7.25,7.25,"Japanese"
1013751,7.2,9.25,8.8,NA,NA,NA,8,8.25,8,"Japanese"
1013808,6.8,7.25,8.8,NA,NA,NA,5.5,5.25,8.25,"Japanese"
1013922,8.2,8.75,8.2,NA,NA,NA,9.5,8.25,8.25,"Japanese"
1013997,8,8.5,9.2,NA,NA,NA,8.75,9.25,8.5,"Japanese"
1014006,8.2,8,9.4,NA,NA,NA,9,8.5,8.25,"Japanese"
1014011,7.6,8,8.2,NA,NA,NA,9.75,7.5,7.25,"Japanese"
1014046,8.6,9,7.4,NA,NA,NA,9,8.5,8.25,"Japanese"
1014149,7.6,9,9.2,NA,NA,NA,9,8,8.75,"Japanese"
1014227,8.4,8,9,NA,NA,NA,8.75,8.25,8.75,"Japanese"
1014492,8,8.5,9.8,NA,NA,NA,9.5,9.5,9.75,"Japanese"
1014503,7.4,8.75,8.4,NA,NA,NA,9.5,7.75,8.5,"Japanese"
1014516,7.6,8.75,9.2,NA,NA,NA,6.75,6.75,8.25,"Japanese"
1014525,8.2,9.25,9.4,NA,NA,NA,9,9,8.25,"Japanese"
1014565,7.8,7.75,8.8,NA,NA,NA,9.75,8.5,9,"Japanese"
1014573,8.6,9.25,8.2,NA,NA,NA,8.5,9.25,9.25,"Japanese"
1014592,8.4,8,7,NA,NA,NA,7.25,8.25,9,"Japanese"
1014610,8,6.5,6.8,6,8,8,NA,NA,NA,"Japanese"
1014620,7.2,8.75,8.8,NA,NA,NA,8.5,8.25,8.75,"Japanese"
1014659,8.4,8.25,6.8,NA,NA,NA,7.75,8.75,9.5,"Japanese"
1014674,8.8,8.25,8.6,NA,NA,NA,6.75,8.75,7.75,"Japanese"
1014952,8.6,8.25,8.6,NA,NA,NA,7.5,8.25,8.5,"Japanese"
1014953,7.4,8.75,8.8,NA,NA,NA,8.25,7.5,8.75,"Japanese"
1015030,8.2,9.25,8,NA,NA,NA,7,7,9.25,"Japanese"
1015429,6.6,9.25,6.2,NA,NA,NA,9,8.75,8.5,"Japanese"
1015432,7.6,7.5,8.2,NA,NA,NA,6.5,6,7,"Japanese"
1015531,8.8,9,9.8,NA,NA,NA,8.75,8.75,9,"Japanese"
1015549,6.8,8.75,8.4,NA,NA,NA,7.75,8.25,9,"Japanese"
1015552,7.8,9.25,3.2,NA,NA,NA,8.25,7.75,8.5,"Japanese"
1015615,8,9,9.2,NA,NA,NA,8.5,9.25,9.5,"Japanese"
1015625,8.4,8.75,9.4,NA,NA,NA,8.25,8.75,8.5,"Japanese"
1015654,8.8,8,9.8,NA,NA,NA,8.75,8,8.75,"Japanese"
1015728,8.6,6.5,6.6,7.75,5,6,NA,NA,NA,"Japanese"
1015753,8,8.75,8.4,NA,NA,NA,7.5,8.5,8,"Japanese"
1015776,8.4,9,9.6,NA,NA,NA,9.75,10,9.25,"Japanese"
1015777,7.6,9,9.2,NA,NA,NA,9.5,9.75,9.75,"Japanese"
1015824,8.4,8.25,8.6,NA,NA,NA,8,8.5,9.25,"Japanese"
1016899,6.8,8.25,10,NA,NA,NA,7,8.75,9.75,"Japanese"
1016913,9.6,8.75,9.6,7.25,7.25,7.75,NA,NA,NA,"Japanese"
1018032,6.8,7.5,10,NA,NA,NA,7.25,7,7.25,"Japanese"
1018037,8.6,7.75,10,6.75,7.5,7.75,NA,NA,NA,"Japanese"
