"sbd","toan","ngu_van","ngoai_ngu","vat_li","hoa_hoc","sinh_hoc","lich_su","dia_li","gdcd","ma_ngoai_ngu"
2071500,8.2,8.25,9.4,7.25,7.75,6.5,NA,NA,NA,"Korean"
2072005,7.6,7.5,9.2,4.25,6,6.75,NA,NA,NA,"Korean"
2072102,7,7.5,6.6,NA,NA,NA,7.5,8.25,NA,"Korean"
2084375,7.6,7.25,6.6,3.75,7,7.25,NA,NA,NA,"Korean"
2085907,6.6,5.75,8.4,NA,NA,NA,NA,NA,NA,"Korean"
2086734,8.4,8,6.2,NA,NA,NA,6.75,7.75,NA,"Korean"
3001072,7,8,7.2,NA,NA,NA,8.75,9,9.25,"Korean"
3001080,8.2,8.25,7.6,NA,NA,NA,8,7.75,10,"Korean"
3001268,6.8,8.25,6.6,NA,NA,NA,6,6.5,8.75,"Korean"
3001935,8.6,9.25,9.4,NA,NA,NA,8.5,9,9.25,"Korean"
3002086,6.2,9,7.6,NA,NA,NA,6.75,8.25,10,"Korean"
3002182,8.6,8.5,8,7.75,6.75,8,NA,NA,NA,"Korean"
3002189,8.6,8.25,5.8,NA,NA,NA,6.75,8.75,8.75,"Korean"
3002215,6.6,9.5,6.4,6.25,6,7.75,NA,NA,NA,"Korean"
3002227,6.6,9,7.6,NA,NA,NA,7,9,8.75,"Korean"
3002249,5.8,8,3.6,NA,NA,NA,7,8.25,9,"Korean"
3002266,6.8,7.5,3.2,NA,NA,NA,7.75,9,8.5,"Korean"
3002398,5.4,7.75,3.4,NA,NA,NA,6.25,8,9.5,"Korean"
3002488,7,8.75,5.6,NA,NA,NA,8.25,8.5,9.75,"Korean"
3002490,6.6,8.5,6.8,6.5,5.75,4.75,NA,NA,NA,"Korean"
3002492,7.8,9.25,7,4.5,5.5,5.5,NA,NA,NA,"Korean"
3002537,3.2,8,3.6,NA,NA,NA,6.75,7.25,8.75,"Korean"
3002681,6,5.5,3.2,NA,NA,NA,5.5,7,8,"Korean"
3002712,7.4,8.25,5.6,NA,NA,NA,8,8.75,NA,"Korean"
3002713,8.2,9,6.4,NA,NA,NA,8.75,9.25,9.25,"Korean"
3002726,6.8,6,5.8,NA,NA,NA,5.5,7.25,8.75,"Korean"
3002730,6.2,8,2.8,NA,NA,NA,7.25,9,9.25,"Korean"
3002744,5.2,7.5,5,NA,NA,NA,7,7.25,9,"Korean"
3002760,6.2,6,5.8,NA,NA,NA,6,7.75,9.25,"Korean"
3002771,5.4,7.75,4.4,NA,NA,NA,6.5,8.75,8.5,"Korean"
3002808,7.2,8.75,7,7,6.25,7,NA,NA,NA,"Korean"
3002810,6.8,9.25,5.8,NA,NA,NA,8.5,9.5,9,"Korean"
3002827,5.6,9,3.6,3.25,4,5.25,NA,NA,NA,"Korean"
3002850,4.2,7.75,3.4,NA,NA,NA,6.5,9,9,"Korean"
3002899,5.6,8.25,3.8,5.5,3.5,5.5,NA,NA,NA,"Korean"
3002910,5.8,7.75,4,4.5,4.25,5.5,NA,NA,NA,"Korean"
3002929,6.6,9.25,7.2,NA,NA,NA,8.25,8.75,8.75,"Korean"
3002953,7.2,9.25,7,NA,NA,NA,6.75,8.25,8.25,"Korean"
3002974,5.4,8.25,5.2,NA,NA,NA,5.5,7,7,"Korean"
3002982,7.6,9,4.6,NA,NA,NA,7.75,8.75,9.25,"Korean"
3003025,6.6,9,4.8,NA,NA,NA,5.75,8.25,9,"Korean"
3003051,7.4,9,5.4,7,5,5.5,NA,NA,NA,"Korean"
3003099,6,9,5.6,NA,NA,NA,7.5,7.25,8.75,"Korean"
3003111,5,8.5,3.2,NA,NA,NA,5.25,7,7.25,"Korean"
3003112,8.4,9.5,8.4,NA,NA,NA,8.25,8,9,"Korean"
3003147,8,8.75,5.6,NA,NA,NA,9.25,8.75,9.5,"Korean"
3003150,6.6,8.25,7,5,5.75,6.5,NA,NA,NA,"Korean"
3003184,7.6,8.75,4.6,NA,NA,NA,9.25,9.5,9.5,"Korean"
3003194,6.2,8.25,8.8,5,3.5,7.5,NA,NA,NA,"Korean"
3003197,8.2,8.75,5.6,NA,NA,NA,8,9.75,9.25,"Korean"
3003210,6.8,8.5,2,NA,NA,NA,6,7.25,9.5,"Korean"
3003332,6.6,6.75,4.4,NA,NA,NA,5.75,7.25,9,"Korean"
3003348,7.4,9.25,9,6,6.25,6,NA,NA,NA,"Korean"
3003349,7.6,9,6.2,NA,NA,NA,7.5,7.5,8.75,"Korean"
3003377,5.6,9,6.8,NA,NA,NA,7.5,7.5,9.5,"Korean"
3003430,7.8,8.25,5.6,NA,NA,NA,9,9.25,9.5,"Korean"
3003431,5.4,8.75,4,NA,NA,NA,7,6.75,7.75,"Korean"
3003606,7.4,8.75,6,4.5,4.25,5.5,NA,NA,NA,"Korean"
3003610,6.4,7.75,4.4,NA,NA,NA,4,7.5,8.5,"Korean"
3003611,6.4,8,7.4,NA,NA,NA,6,4,8,"Korean"
3003629,6,9,4.8,NA,NA,NA,6.75,9.75,9.25,"Korean"
3003666,7.2,8.5,7.4,NA,NA,NA,5,6.75,9.25,"Korean"
3003718,7.4,9.5,5.2,NA,NA,NA,7.75,8.5,9.5,"Korean"
3003733,7.2,9.25,7.4,NA,NA,NA,8.25,9,9,"Korean"
3003759,8,8.75,6.2,4.75,7,5.25,NA,NA,NA,"Korean"
3003792,6.6,8.5,6.8,3.5,4.75,6,NA,NA,NA,"Korean"
3003809,7.6,8.75,6.4,NA,NA,NA,8,7.5,8.75,"Korean"
3003826,7.2,8.5,8.2,NA,NA,NA,7.25,6.5,9,"Korean"
3003879,5,7.5,3,NA,NA,NA,7,8,8,"Korean"
3003912,8.2,7.75,6.2,5.5,5.75,6.5,NA,NA,NA,"Korean"
3004029,6.6,9.5,6.2,NA,NA,NA,6.75,7.75,7.5,"Korean"
3004034,6.6,8.5,7,NA,NA,NA,7.5,9.25,9.25,"Korean"
3004599,9,7.75,5.8,NA,NA,NA,8.25,9.5,10,"Korean"
3005037,6.8,9.25,7.2,NA,NA,NA,8.5,9.25,9.5,"Korean"
3005051,8,9.5,8.2,NA,NA,NA,9.5,9.25,10,"Korean"
3005062,7.8,8.5,8.8,NA,NA,NA,7.25,8.75,8.75,"Korean"
3005173,7,7.75,5.4,6.75,5.5,5.75,NA,NA,NA,"Korean"
3005200,6.2,8,5.2,NA,NA,NA,8,8.25,7.75,"Korean"
3005517,6.8,7.75,4,NA,NA,NA,5,7.5,7.5,"Korean"
3005536,8,9,6.4,NA,NA,NA,8.5,8.5,8.75,"Korean"
3005696,6.4,8.25,6.4,NA,NA,NA,6.5,8,9,"Korean"
3005718,5,8.75,6,NA,NA,NA,4,5.75,7.5,"Korean"
3005753,6.8,8.5,4.6,NA,NA,NA,8,8.25,9.25,"Korean"
3006027,6.4,8,3.6,NA,NA,NA,6.75,6.75,9,"Korean"
3007611,8.4,9,4.6,NA,NA,NA,7.5,8.75,9,"Korean"
3008523,8.2,9,7.6,7.75,8.5,6.5,NA,NA,NA,"Korean"
3009454,5.8,8.25,7.6,NA,NA,NA,8.25,8.5,9.5,"Korean"
3010037,6.2,8.25,8,NA,NA,NA,9,8,9.5,"Korean"
3010508,7,8,6.4,NA,NA,NA,7.5,7.75,8.75,"Korean"
3010576,8,9.25,7,7.25,7.75,6,NA,NA,NA,"Korean"
3010855,5.8,6.75,4,NA,NA,NA,5.75,6,7,"Korean"
3011011,5.2,8.5,6.8,NA,NA,NA,7.5,6.5,8.25,"Korean"
3011041,7.4,7,5.4,NA,NA,NA,7.25,7,8.5,"Korean"
3011191,6.6,8,6.4,NA,NA,NA,7,7.5,8.5,"Korean"
3011232,7,8.25,6,NA,NA,NA,8.25,8.25,8.75,"Korean"
3011255,7.4,8.5,7.6,NA,NA,NA,9.25,8.75,8.5,"Korean"
3011401,7.8,9.5,6.4,NA,NA,NA,9,9,9,"Korean"
3011656,7.6,9,6,NA,NA,NA,7,6.5,8.5,"Korean"
3013148,7.2,9.25,6.8,NA,NA,NA,6.75,7.75,9.25,"Korean"
3013377,6.8,8.75,6.6,NA,NA,NA,7.5,8.5,9.25,"Korean"
3013611,6.6,9.25,7.4,NA,NA,NA,5.75,8.5,9.75,"Korean"
3014202,7.6,8,3.6,6.5,5.5,7.75,NA,NA,NA,"Korean"
3014206,7.8,9.25,7,NA,NA,NA,9,8,9.5,"Korean"
3014567,7,7.75,6.6,6.75,6.25,6.5,NA,NA,NA,"Korean"
3014803,7,8.25,5.8,NA,NA,NA,6.25,8.75,9.75,"Korean"
3015150,6,9.25,6.4,NA,NA,NA,7,7.25,9,"Korean"
3015184,7.2,9.25,8,NA,NA,NA,7.25,8.75,9,"Korean"
3015389,8.8,8.75,7.8,7,7,8.25,NA,NA,NA,"Korean"
3018212,5.8,9,6.2,NA,NA,NA,8.25,9,9.75,"Korean"
